time_ms,angle_deg
5000,-0.150
5005,0.000
5010,0.000
5015,0.150
5020,0.300
5025,0.450
5030,0.750
5035,1.050
5040,1.500
5045,1.950
5050,2.250
5055,2.850
5060,3.300
5065,3.750
5070,4.350
5075,4.800
5080,5.250
5085,5.700
5090,6.150
5095,6.600
5100,6.900
5105,7.350
5110,7.500
5115,7.800
5120,8.100
5125,8.250
5130,8.400
5135,8.550
5140,8.700
5145,8.850
5150,8.850
5155,8.850
5160,8.850
5165,8.700
5170,8.700
5175,8.550
5180,8.400
5185,8.100
5190,7.950
5195,7.650
5200,7.350
5205,7.050
5210,6.750
5215,6.300
5220,6.000
5225,5.550
5230,5.100
5235,4.650
5240,4.200
5245,3.750
5250,3.300
5255,2.700
5260,2.250
5265,1.650
5270,1.050
5275,0.600
5280,0.000
5285,-0.600
5290,-1.050
5295,-1.650
5300,-2.100
5305,-2.700
5310,-3.150
5315,-3.750
5320,-4.200
5325,-4.650
5330,-5.100
5335,-5.550
5340,-6.000
5345,-6.300
5350,-6.750
5355,-7.050
5360,-7.350
5365,-7.650
5370,-7.800
5375,-8.100
5380,-8.250
5385,-8.400
5390,-8.400
5395,-8.550
5400,-8.550
5405,-8.550
5410,-8.550
5415,-8.400
5420,-8.400
5425,-8.250
5430,-8.100
5435,-7.950
5440,-7.650
5445,-7.350
5450,-7.050
5455,-6.750
5460,-6.450
5465,-6.150
5470,-5.700
5475,-5.400
5480,-4.950
5485,-4.500
5490,-4.050
5495,-3.450
5500,-3.000
5505,-2.550
5510,-1.950
5515,-1.350
5520,-0.900
5525,-0.450
5530,0.000
5535,0.450
5540,0.900
5545,1.350
5550,1.650
5555,1.800
5560,2.100
5565,2.250
5570,2.250
5575,2.400
5580,2.400
5585,2.400
5590,2.250
5595,2.100
5600,1.950
5605,1.800
5610,1.650
5615,1.500
5620,1.350
5625,1.200
5630,0.900
5635,0.750
5640,0.600
5645,0.450
5650,0.150
5655,0.000
5660,-0.150
5665,-0.300
5670,-0.600
5675,-0.750
5680,-0.900
5685,-1.050
5690,-1.350
5695,-1.500
5700,-1.650
5705,-1.800
5710,-1.950
5715,-2.100
5720,-2.250
5725,-2.250
5730,-2.400
5735,-2.550
5740,-2.550
5745,-2.700
5750,-2.700
5755,-2.850
5760,-2.850
5765,-2.850
5770,-2.850
5775,-2.850
5780,-2.850
5785,-2.850
5790,-2.850
5795,-2.850
5800,-2.850
5805,-2.700
5810,-2.700
5815,-2.550
5820,-2.550
5825,-2.400
5830,-2.250
5835,-2.250
5840,-2.100
5845,-1.950
5850,-1.800
5855,-1.650
5860,-1.500
5865,-1.350
5870,-1.200
5875,-1.050
5880,-0.900
5885,-0.750
5890,-0.450
5895,-0.300
5900,-0.150
5905,0.000
5910,0.150
5915,0.450
5920,0.600
5925,0.750
5930,0.900
5935,1.050
5940,1.200
5945,1.350
5950,1.500
5955,1.650
5960,1.800
5965,1.950
5970,2.100
5975,2.100
5980,2.250
5985,2.400
5990,2.400
5995,2.550
6000,2.700
6005,2.850
6010,3.000
6015,3.300
6020,3.750
6025,4.050
6030,4.350
6035,4.800
6040,5.100
6045,5.550
6050,6.000
6055,6.450
6060,6.900
6065,7.350
6070,7.650
6075,7.950
6080,8.250
6085,8.550
6090,8.700
6095,8.850
6100,9.000
6105,9.150
6110,9.300
6115,9.300
6120,9.300
6125,9.300
6130,9.150
6135,9.150
6140,9.000
6145,8.700
6150,8.550
6155,8.400
6160,8.100
6165,7.800
6170,7.500
6175,7.050
6180,6.750
6185,6.300
6190,5.850
6195,5.400
6200,4.950
6205,4.350
6210,3.900
6215,3.300
6220,2.700
6225,2.100
6230,1.650
6235,1.050
6240,0.450
6245,-0.150
6250,-0.750
6255,-1.350
6260,-1.950
6265,-2.400
6270,-3.000
6275,-3.600
6280,-4.050
6285,-4.650
6290,-5.100
6295,-5.550
6300,-6.000
6305,-6.450
6310,-6.750
6315,-7.200
6320,-7.500
6325,-7.800
6330,-8.100
6335,-8.250
6340,-8.550
6345,-8.700
6350,-8.850
6355,-9.000
6360,-9.000
6365,-9.000
6370,-9.000
6375,-9.000
6380,-9.000
6385,-8.850
6390,-8.700
6395,-8.550
6400,-8.400
6405,-8.100
6410,-7.800
6415,-7.500
6420,-7.200
6425,-6.900
6430,-6.450
6435,-6.000
6440,-5.700
6445,-5.250
6450,-4.950
6455,-4.650
6460,-4.350
6465,-4.050
6470,-3.900
6475,-3.600
6480,-3.450
6485,-3.300
6490,-3.150
