time_ms,position_step,position_deg,target_step
10000,-1,-14.590,-10600
10020,-22,-14.941,-10600
10040,-71,-16.348,-10600
10060,-144,-18.105,-10600
10080,-236,-20.391,-10600
10100,-328,-22.148,-10600
10120,-422,-23.555,-10600
10140,-516,-24.434,-10600
10160,-608,-24.434,-10600
10180,-698,-23.906,-10600
10200,-783,-22.676,-10600
10220,-876,-21.094,-10600
10240,-969,-19.160,-10600
10260,-1060,-16.875,-10600
10280,-1155,-14.590,-10600
10300,-1246,-12.305,-10600
10320,-1340,-10.195,-10600
10340,-1434,-8.262,-10600
10360,-1529,-6.855,-10600
10380,-1621,-5.977,-10600
10400,-1714,-5.625,-10600
10420,-1809,-5.977,-10600
10440,-1903,-6.855,-10600
10460,-1997,-8.086,-10600
10480,-2088,-9.668,-10600
10500,-2179,-11.602,-10600
10520,-2271,-13.711,-10600
10540,-2363,-15.820,-10600
10560,-2454,-17.930,-10600
10580,-2545,-19.687,-10600
10600,-2637,-21.270,-10600
10620,-2727,-22.148,-10600
10640,-2820,-22.852,-10600
10660,-2911,-22.852,-10600
10680,-3005,-22.500,-10600
10700,-3096,-21.621,-10600
10720,-3190,-20.215,-10600
10740,-3283,-18.633,-10600
10760,-3377,-16.699,-10600
10780,-3468,-14.590,-10600
10800,-3562,-12.656,-10600
10820,-3654,-10.723,-10600
10840,-3745,-8.965,-10600
10860,-3839,-7.734,-10600
10880,-3929,-6.855,-10600
10900,-4020,-6.328,-10600
10920,-4114,-6.504,-10600
10940,-4208,-7.207,-10600
10960,-4302,-8.438,-10600
10980,-4394,-9.844,-10600
11000,-4486,-11.602,-10600
11020,-4578,-13.711,-10600
11040,-4672,-15.820,-10600
11060,-4767,-17.754,-10600
11080,-4858,-19.512,-10600
11100,-4950,-20.918,-10600
11120,-5041,-21.973,-10600
11140,-5134,-22.500,-10600
11160,-5228,-22.676,-10600
11180,-5317,-21.973,-10600
11200,-5411,-21.094,-10600
11220,-5506,-19.863,-10600
11240,-5599,-18.105,-10600
11260,-5691,-16.172,-10600
11280,-5785,-14.238,-10600
11300,-5877,-12.305,-10600
11320,-5968,-10.371,-10600
11340,-6060,-8.789,-10600
11360,-6154,-7.734,-10600
11380,-6245,-7.031,-10600
11400,-6338,-6.855,-10600
11420,-6432,-7.207,-10600
11440,-6526,-7.910,-10600
11460,-6617,-9.141,-10600
11480,-6708,-10.547,-10600
11500,-6799,-12.305,-10600
11520,-6892,-14.238,-10600
11540,-6984,-16.172,-10600
11560,-7076,-17.930,-10600
11580,-7167,-19.336,-10600
11600,-7259,-20.566,-10600
11620,-7352,-21.445,-10600
11640,-7445,-21.797,-10600
11660,-7535,-21.797,-10600
11680,-7627,-21.270,-10600
11700,-7721,-20.391,-10600
11720,-7815,-19.160,-10600
11740,-7907,-17.578,-10600
11760,-8003,-15.996,-10600
11780,-8098,-14.238,-10600
11800,-8192,-12.656,-10600
11820,-8285,-11.074,-10600
11840,-8379,-9.668,-10600
11860,-8470,-8.613,-10600
11880,-8560,-7.910,-10600
11900,-8653,-7.734,-10600
11920,-8748,-7.910,-10600
11940,-8842,-8.613,-10600
11960,-8932,-9.492,-10600
11980,-9026,-10.723,-10600
12000,-9119,-12.305,-10600
12020,-9213,-14.063,-10600
12040,-9308,-15.820,-10600
12060,-9399,-17.402,-10600
12080,-9493,-18.984,-10600
12100,-9585,-20.039,-10600
12120,-9679,-20.918,-10600
12140,-9772,-21.270,-10600
12160,-9866,-21.445,-10600
12180,-9959,-20.918,-10600
12200,-10053,-20.039,-10600
12220,-10147,-18.984,-10600
12240,-10242,-17.578,-10600
12260,-10335,-15.820,-10600
12280,-10428,-14.238,-10600
12300,-10510,-12.305,-10600
12320,-10566,-9.668,-10600
12340,-10595,-6.855,-10600
12360,-10600,-3.691,-10600
12380,-10600,-1.230,-10600
12400,-10600,0.527,-10600
12420,-10600,1.230,-10600
12440,-10600,0.879,-10600
12460,-10600,-0.352,-10600
12480,-10600,-2.461,-10600
12500,-10600,-5.273,-10600
12520,-10600,-8.613,-10600
12540,-10600,-12.480,-10600
12560,-10600,-16.348,-10600
12580,-10600,-20.215,-10600
12600,-10600,-23.555,-10600
12620,-10600,-26.367,-10600
12640,-10600,-28.301,-10600
12660,-10600,-29.531,-10600
12680,-10600,-29.707,-10600
12700,-10600,-29.004,-10600
12720,-10600,-27.246,-10600
12740,-10600,-24.785,-10600
12760,-10600,-21.621,-10600
12780,-10600,-18.105,-10600
12800,-10600,-14.414,-10600
12820,-10600,-10.547,-10600
12840,-10600,-7.031,-10600
12860,-10600,-4.043,-10600
12880,-10600,-1.758,-10600
12900,-10600,-0.176,-10600
12920,-10600,0.527,-10600
12940,-10600,0.176,-10600
12960,-10600,-1.055,-10600
12980,-10600,-3.164,-10600
13000,-10600,-5.801,-10600
13020,-10600,-9.141,-10600
13040,-10600,-12.832,-10600
13060,-10600,-16.523,-10600
13080,-10600,-20.039,-10600
13100,-10600,-23.203,-10600
13120,-10600,-25.840,-10600
13140,-10600,-27.598,-10600
13160,-10600,-28.652,-10600
13180,-10600,-28.828,-10600
13200,-10600,-27.949,-10600
13220,-10600,-26.367,-10600
13240,-10600,-23.906,-10600
13260,-10600,-20.918,-10600
13280,-10600,-17.578,-10600
13300,-10600,-13.887,-10600
13320,-10600,-10.371,-10600
13340,-10600,-7.031,-10600
13360,-10600,-4.219,-10600
13380,-10600,-2.109,-10600
13400,-10600,-0.703,-10600
13420,-10600,-0.176,-10600
13440,-10600,-0.527,-10600
13460,-10600,-1.934,-10600
13480,-10600,-3.867,-10600
13500,-10600,-6.504,-10600
13520,-10600,-9.668,-10600
13540,-10600,-13.184,-10600
13560,-10600,-16.699,-10600
13580,-10600,-20.039,-10600
13600,-10600,-23.027,-10600
13620,-10600,-25.664,-10600
13640,-10600,-27.773,-10600
13660,-10600,-28.828,-10600
13680,-10600,-29.180,-10600
13700,-10600,-28.477,-10600
13720,-10600,-26.895,-10600
13740,-10600,-24.258,-10600
13760,-10600,-21.094,-10600
13780,-10600,-17.402,-10600
13800,-10600,-13.535,-10600
13820,-10600,-9.668,-10600
13840,-10600,-6.152,-10600
13860,-10600,-3.340,-10600
