time_ms,position_step,position_deg,target_step
10000,-1,13.008,-2120
10020,-22,12.656,-2120
10040,-70,11.426,-2120
10060,-144,9.844,-2120
10080,-236,7.910,-2120
10100,-329,6.504,-2120
10120,-422,5.449,-2120
10140,-510,5.098,-2120
10160,-601,5.449,-2120
10180,-692,6.152,-2120
10200,-785,7.383,-2120
10220,-879,8.965,-2120
10240,-970,10.898,-2120
10260,-1061,13.184,-2120
10280,-1154,15.117,-2120
10300,-1247,17.930,-2120
10320,-1340,21.094,-2120
10340,-1430,22.324,-2120
10360,-1523,23.203,-2120
10380,-1614,23.555,-2120
10400,-1706,23.203,-2120
10420,-1799,22.324,-2120
10440,-1892,20.918,-2120
10460,-1982,18.984,-2120
10480,-2053,17.227,-2120
10500,-2099,15.996,-2120
10520,-2119,15.469,-2120
10540,-2120,15.293,-2120
10560,-2120,15.293,-2120
10580,-2120,15.117,-2120
10600,-2120,14.941,-2120
10620,-2120,14.590,-2120
10640,-2120,14.414,-2120
10660,-2120,14.063,-2120
10680,-2120,13.711,-2120
10700,-2120,13.535,-2120
10720,-2120,13.359,-2120
10740,-2120,13.184,-2120
10760,-2120,13.184,-2120
10780,-2120,13.184,-2120
10800,-2120,13.359,-2120
10820,-2120,13.535,-2120
10840,-2120,13.711,-2120
10860,-2120,13.887,-2120
10880,-2120,13.887,-2120
10900,-2120,13.887,-2120
10920,-2120,13.887,-2120
10940,-2120,13.887,-2120
10960,-2120,13.887,-2120
10980,-2120,13.711,-2120
11000,-2120,13.711,-2120
11020,-2120,13.359,-2120
11040,-2120,13.184,-2120
11060,-2120,13.008,-2120
11080,-2120,12.832,-2120
11100,-2120,12.656,-2120
11120,-2120,12.656,-2120
11140,-2120,12.480,-2120
11160,-2120,12.480,-2120
11180,-2120,12.480,-2120
11200,-2120,12.656,-2120
11220,-2120,12.656,-2120
11240,-2120,12.832,-2120
11260,-2120,12.832,-2120
11280,-2120,12.832,-2120
11300,-2120,12.832,-2120
11320,-2120,12.832,-2120
11340,-2120,12.832,-2120
11360,-2120,12.832,-2120
11380,-2120,12.832,-2120
11400,-2120,12.832,-2120
11420,-2120,12.832,-2120
11440,-2120,12.832,-2120
11460,-2120,12.832,-2120
11480,-2120,12.832,-2120
11500,-2120,12.832,-2120
11520,-2120,12.832,-2120
11540,-2120,12.832,-2120
11560,-2120,12.832,-2120
11580,-2120,12.832,-2120
11600,-2120,12.832,-2120
11620,-2120,12.832,-2120
11640,-2120,12.832,-2120
11660,-2120,12.832,-2120
11680,-2120,12.832,-2120
11700,-2120,12.832,-2120
11720,-2120,12.832,-2120
11740,-2120,12.832,-2120
11760,-2120,12.832,-2120
11780,-2120,12.832,-2120
11800,-2120,12.832,-2120
11820,-2120,12.832,-2120
11840,-2120,12.832,-2120
11860,-2120,12.832,-2120
11880,-2120,12.832,-2120
11900,-2120,12.832,-2120
11920,-2120,12.832,-2120
11940,-2120,12.832,-2120
11960,-2120,12.832,-2120
11980,-2120,12.832,-2120
12000,-2120,12.832,-2120
