time_ms,position_step,position_deg,target_step
5000,1,0.000,400
5005,3,0.000,400
5010,7,0.000,400
5015,12,0.000,400
5020,19,-0.150,400
5025,26,-0.300,400
5030,35,-0.450,400
5035,46,-0.600,400
5040,58,-0.900,400
5045,72,-1.200,400
5050,87,-1.500,400
5055,103,-1.800,400
5060,121,-2.100,400
5065,136,-2.550,400
5070,155,-2.850,400
5075,176,-3.150,400
5080,199,-3.600,400
5085,221,-4.050,400
5090,240,-4.500,400
5095,260,-4.800,400
5100,278,-5.100,400
5105,296,-5.250,400
5110,309,-5.550,400
5115,323,-5.550,400
5120,336,-5.550,400
5125,347,-5.550,400
5130,356,-5.550,400
5135,366,-5.550,400
5140,375,-5.400,400
5145,382,-5.250,400
5150,389,-5.100,400
5155,394,-4.800,400
5160,397,-4.500,400
5165,399,-4.200,400
5170,400,-3.750,400
5175,400,-3.300,400
5180,400,-2.850,400
5185,400,-2.400,400
5190,400,-1.950,400
5195,400,-1.350,400
5200,400,-0.900,400
5205,400,-0.450,400
5210,400,0.150,400
5215,400,0.600,400
5220,400,1.050,400
5225,400,1.650,400
5230,400,2.100,400
5235,400,2.550,400
5240,400,3.150,400
5245,400,3.600,400
5250,400,4.050,400
5255,400,4.500,400
5260,400,4.800,400
5265,400,5.250,400
5270,400,5.550,400
5275,400,6.000,400
5280,400,6.300,400
5285,400,6.600,400
5290,400,6.900,400
5295,400,7.200,400
5300,400,7.350,400
5305,400,7.500,400
5310,400,7.650,400
5315,400,7.800,400
5320,400,7.950,400
5325,400,7.950,400
5330,400,8.100,400
5335,400,8.100,400
5340,400,7.950,400
5345,400,7.950,400
5350,400,7.800,400
5355,400,7.650,400
5360,400,7.500,400
5365,400,7.350,400
5370,400,7.200,400
5375,400,6.900,400
5380,400,6.600,400
5385,400,6.300,400
5390,400,6.000,400
5395,400,5.700,400
5400,400,5.400,400
5405,400,4.950,400
5410,400,4.650,400
5415,400,4.200,400
5420,400,3.750,400
5425,400,3.300,400
5430,400,2.850,400
5435,400,2.400,400
5440,400,1.950,400
5445,400,1.350,400
5450,400,0.900,400
5455,400,0.450,400
5460,400,0.000,400
5465,400,-0.600,400
5470,400,-1.050,400
5475,400,-1.500,400
5480,400,-1.950,400
5485,400,-2.550,400
5490,400,-3.000,400
5495,400,-3.450,400
5500,400,-3.750,400
5505,400,-4.200,400
5510,400,-4.650,400
5515,400,-4.950,400
5520,400,-5.400,400
5525,400,-5.700,400
5530,400,-6.000,400
5535,400,-6.300,400
5540,400,-6.600,400
5545,400,-6.750,400
5550,400,-7.050,400
