time_ms,position_step,position_deg,target_step
5000,1,0.300,4400
5005,3,0.300,4400
5010,7,0.300,4400
5015,12,0.450,4400
5020,19,0.450,4400
5025,27,0.600,4400
5030,36,0.900,4400
5035,46,1.050,4400
5040,57,1.350,4400
5045,70,1.500,4400
5050,83,1.800,4400
5055,96,2.100,4400
5060,111,2.400,4400
5065,127,2.700,4400
5070,146,3.000,4400
5075,165,3.450,4400
5080,184,3.750,4400
5085,204,4.200,4400
5090,226,4.500,4400
5095,249,4.950,4400
5100,271,5.250,4400
5105,293,5.700,4400
5110,313,6.000,4400
5115,335,6.300,4400
5120,357,6.600,4400
5125,379,6.750,4400
5130,400,7.050,4400
5135,422,7.200,4400
5140,442,7.350,4400
5145,462,7.350,4400
5150,481,7.500,4400
5155,502,7.500,4400
5160,522,7.500,4400
5165,543,7.500,4400
5170,566,7.500,4400
5175,588,7.500,4400
5180,610,7.350,4400
5185,630,7.350,4400
5190,652,7.200,4400
5195,674,7.050,4400
5200,695,6.750,4400
5205,718,6.600,4400
5210,740,6.450,4400
5215,761,6.150,4400
5220,783,5.850,4400
5225,804,5.550,4400
5230,823,5.250,4400
5235,845,4.950,4400
5240,866,4.500,4400
5245,888,4.200,4400
5250,907,3.750,4400
5255,927,3.300,4400
5260,948,2.850,4400
5265,968,2.400,4400
5270,989,2.100,4400
5275,1010,1.650,4400
5280,1032,1.200,4400
5285,1052,0.750,4400
5290,1074,0.300,4400
5295,1097,-0.150,4400
5300,1118,-0.600,4400
5305,1138,-1.050,4400
5310,1157,-1.500,4400
5315,1178,-1.950,4400
5320,1200,-2.400,4400
5325,1221,-2.700,4400
5330,1242,-3.150,4400
5335,1262,-3.450,4400
5340,1284,-3.900,4400
5345,1307,-4.200,4400
5350,1328,-4.500,4400
5355,1349,-4.800,4400
5360,1369,-5.100,4400
5365,1391,-5.400,4400
5370,1414,-5.550,4400
5375,1434,-5.850,4400
5380,1457,-6.000,4400
5385,1477,-6.150,4400
5390,1498,-6.300,4400
5395,1521,-6.450,4400
5400,1543,-6.450,4400
5405,1566,-6.450,4400
5410,1588,-6.450,4400
5415,1609,-6.450,4400
5420,1630,-6.450,4400
5425,1652,-6.450,4400
5430,1672,-6.300,4400
5435,1693,-6.300,4400
5440,1714,-6.150,4400
5445,1737,-6.000,4400
5450,1757,-5.700,4400
5455,1778,-5.550,4400
5460,1798,-5.400,4400
5465,1819,-5.100,4400
5470,1842,-4.950,4400
5475,1863,-4.500,4400
5480,1885,-4.200,4400
5485,1904,-3.900,4400
5490,1925,-3.600,4400
5495,1948,-3.300,4400
5500,1971,-2.850,4400
5505,1994,-2.400,4400
