time_ms,angle_deg
5000,0.000
5005,0.000
5010,0.000
5015,0.150
5020,0.300
5025,0.450
5030,0.750
5035,1.050
5040,1.350
5045,1.800
5050,2.100
5055,2.550
5060,3.150
5065,3.600
5070,4.050
5075,4.650
5080,5.100
5085,5.700
5090,6.150
5095,6.600
5100,6.900
5105,7.350
5110,7.650
5115,7.950
5120,8.250
5125,8.550
5130,8.700
5135,9.000
5140,9.150
5145,9.300
5150,9.300
5155,9.300
5160,9.450
5165,9.300
5170,9.300
5175,9.150
5180,9.000
5185,8.850
5190,8.700
5195,8.400
5200,8.100
5205,7.650
5210,7.350
5215,7.050
5220,6.600
5225,6.150
5230,5.700
5235,5.250
5240,4.650
5245,4.200
5250,3.600
5255,3.150
5260,2.550
5265,1.950
5270,1.350
5275,0.750
5280,0.300
5285,-0.300
5290,-0.900
5295,-1.500
5300,-2.100
5305,-2.700
5310,-3.150
5315,-3.750
5320,-4.200
5325,-4.650
5330,-5.250
5335,-5.700
5340,-6.000
5345,-6.450
5350,-6.750
5355,-7.200
5360,-7.500
5365,-7.800
5370,-8.100
5375,-8.250
5380,-8.550
5385,-8.700
5390,-8.850
5395,-8.850
5400,-9.000
5405,-9.000
5410,-9.000
5415,-9.000
5420,-8.850
5425,-8.700
5430,-8.550
5435,-8.400
5440,-8.250
5445,-7.950
5450,-7.800
5455,-7.350
5460,-7.050
5465,-6.600
5470,-6.300
5475,-5.850
5480,-5.400
5485,-4.950
5490,-4.500
5495,-3.900
5500,-3.450
5505,-3.000
5510,-2.400
5515,-1.800
5520,-1.350
5525,-0.750
5530,-0.150
5535,0.300
5540,0.900
5545,1.500
5550,1.950
5555,2.550
5560,3.000
5565,3.450
5570,4.050
5575,4.500
5580,4.950
5585,5.400
5590,5.700
5595,6.150
5600,6.450
5605,6.900
5610,7.200
5615,7.500
5620,7.650
5625,7.950
5630,8.100
5635,8.400
5640,8.550
5645,8.550
5650,8.700
5655,8.700
5660,8.700
5665,8.700
5670,8.550
5675,8.400
5680,8.250
5685,8.100
5690,7.800
5695,7.650
5700,7.350
5705,7.050
5710,6.750
5715,6.300
5720,6.000
5725,5.550
5730,5.100
5735,4.650
5740,4.200
5745,3.750
5750,3.150
5755,2.700
5760,2.250
5765,1.650
5770,1.050
5775,0.600
5780,0.000
5785,-0.450
5790,-1.050
5795,-1.500
5800,-2.100
5805,-2.700
5810,-3.150
5815,-3.600
5820,-4.050
5825,-4.500
5830,-4.950
5835,-5.400
5840,-5.700
5845,-6.150
5850,-6.600
5855,-6.900
