time_ms,angle_deg
5000,0.300
5005,0.300
5010,0.450
5015,0.600
5020,0.750
5025,1.050
5030,1.500
5035,1.800
5040,2.250
5045,2.700
5050,3.150
5055,3.750
5060,4.350
5065,4.950
5070,5.550
5075,6.150
5080,6.600
5085,7.200
5090,7.650
5095,8.100
5100,8.550
5105,9.000
5110,9.300
5115,9.750
5120,10.050
5125,10.350
5130,10.500
5135,10.800
5140,10.950
5145,11.100
5150,11.100
5155,11.250
5160,11.250
5165,11.100
5170,11.100
5175,10.950
5180,10.950
5185,10.650
5190,10.350
5195,10.050
5200,9.750
5205,9.450
5210,9.150
5215,8.700
5220,8.250
5225,7.800
5230,7.350
5235,6.750
5240,6.300
5245,5.700
5250,5.100
5255,4.500
5260,3.900
5265,3.300
5270,2.700
5275,2.100
5280,1.350
5285,0.750
5290,0.150
5295,-0.450
5300,-1.200
5305,-1.800
5310,-2.400
5315,-3.000
5320,-3.600
5325,-4.050
5330,-4.650
5335,-5.100
5340,-5.550
5345,-6.000
5350,-6.450
5355,-6.900
5360,-7.200
5365,-7.650
5370,-7.950
5375,-8.100
5380,-8.400
5385,-8.550
5390,-8.700
5395,-8.850
5400,-8.850
5405,-9.000
5410,-9.000
5415,-8.850
5420,-8.850
5425,-8.700
5430,-8.550
5435,-8.400
5440,-8.100
5445,-7.800
5450,-7.500
5455,-7.200
5460,-6.750
5465,-6.450
5470,-6.000
5475,-5.400
5480,-4.950
5485,-4.350
5490,-3.900
5495,-3.300
5500,-2.700
5505,-2.250
5510,-1.500
5515,-0.900
5520,-0.300
5525,0.300
5530,0.900
5535,1.500
5540,2.100
5545,2.700
5550,3.300
5555,3.900
5560,4.500
5565,4.950
5570,5.550
5575,6.150
5580,6.600
5585,7.050
5590,7.500
5595,7.950
5600,8.400
5605,8.700
5610,9.000
5615,9.300
5620,9.600
5625,9.900
5630,10.050
5635,10.200
5640,10.350
5645,10.500
5650,10.650
5655,10.650
5660,10.500
5665,10.500
5670,10.500
5675,10.350
5680,10.200
5685,9.900
5690,9.600
5695,9.450
5700,9.150
5705,8.700
5710,8.400
5715,7.950
5720,7.500
5725,7.050
5730,6.600
5735,6.150
5740,5.700
5745,5.100
5750,4.500
5755,3.900
5760,3.300
5765,2.700
5770,2.250
5775,1.650
5780,1.050
5785,0.450
5790,-0.150
5795,-0.750
5800,-1.350
5805,-1.800
5810,-2.400
5815,-3.000
5820,-3.450
5825,-4.050
5830,-4.500
5835,-4.950
5840,-5.400
5845,-5.850
5850,-6.150
5855,-6.600
5860,-6.900
5865,-7.200
5870,-7.500
5875,-7.800
5880,-7.950
5885,-8.100
5890,-8.100
5895,-8.250
5900,-8.400
5905,-8.400
5910,-8.250
5915,-8.250
5920,-8.100
5925,-7.950
5930,-7.800
5935,-7.650
5940,-7.500
5945,-7.350
5950,-7.350
5955,-7.200
5960,-7.050
5965,-6.900
5970,-6.900
5975,-6.750
5980,-6.750
5985,-6.600
5990,-6.600
5995,-6.450
6000,-6.450
6005,-6.450
6010,-6.300
6015,-6.150
6020,-5.850
6025,-5.550
6030,-5.250
6035,-4.800
6040,-4.200
6045,-3.600
6050,-3.000
6055,-2.250
6060,-1.500
6065,-0.750
6070,0.000
6075,0.600
6080,1.200
6085,1.800
6090,2.250
6095,2.850
6100,3.150
