time_ms,angle_deg
5000,-0.450
5005,-0.300
5010,-0.300
5015,-0.150
5020,-0.150
5025,0.150
5030,0.300
5035,0.750
5040,1.050
5045,1.500
5050,1.800
5055,2.250
5060,2.700
5065,3.300
5070,3.750
5075,4.350
5080,4.800
5085,5.250
5090,5.700
5095,6.150
5100,6.600
5105,6.900
5110,7.350
5115,7.650
5120,7.800
5125,8.100
5130,8.250
5135,8.400
5140,8.550
5145,8.700
5150,8.700
5155,8.700
5160,8.700
5165,8.700
5170,8.550
5175,8.550
5180,8.400
5185,8.250
5190,7.950
5195,7.650
5200,7.500
5205,7.050
5210,6.750
5215,6.450
5220,6.000
5225,5.700
5230,5.250
5235,4.800
5240,4.200
5245,3.750
5250,3.300
5255,2.700
5260,2.250
5265,1.650
5270,1.050
5275,0.450
5280,-0.150
5285,-0.600
5290,-1.200
5295,-1.650
5300,-2.250
5305,-2.850
5310,-3.300
5315,-3.900
5320,-4.350
5325,-4.950
5330,-5.400
5335,-6.000
5340,-6.450
5345,-6.900
5350,-7.350
5355,-7.650
5360,-8.100
5365,-8.550
5370,-8.850
5375,-9.150
5380,-9.450
5385,-9.600
5390,-9.750
5395,-9.900
5400,-10.050
5405,-10.050
5410,-10.050
5415,-10.050
5420,-9.900
5425,-9.750
5430,-9.600
5435,-9.450
5440,-9.150
5445,-8.850
5450,-8.550
5455,-8.100
5460,-7.650
5465,-7.200
5470,-6.750
5475,-6.150
5480,-5.700
5485,-5.100
5490,-4.500
5495,-3.900
5500,-3.300
5505,-2.700
5510,-2.100
5515,-1.500
5520,-0.900
5525,-0.300
5530,0.300
5535,0.900
5540,1.500
5545,1.950
5550,2.550
5555,3.000
5560,3.450
5565,3.900
5570,4.350
5575,4.800
5580,5.250
5585,5.700
5590,6.000
5595,6.300
5600,6.600
5605,6.900
5610,7.200
5615,7.500
5620,7.650
5625,7.800
5630,7.950
5635,8.100
5640,8.250
5645,8.250
5650,8.400
5655,8.400
5660,8.400
5665,8.250
5670,8.250
5675,8.100
5680,7.950
5685,7.800
5690,7.500
5695,7.350
5700,7.050
5705,6.750
5710,6.450
5715,6.000
5720,5.550
5725,5.100
5730,4.650
5735,4.200
5740,3.600
5745,3.150
5750,2.550
5755,2.100
5760,1.500
5765,0.900
5770,0.300
5775,-0.300
5780,-0.900
5785,-1.500
5790,-2.100
5795,-2.700
5800,-3.150
5805,-3.750
5810,-4.350
5815,-4.800
5820,-5.250
5825,-5.700
5830,-6.150
