time_ms,position_step,angle_deg,target_step
5001,1,-0.600,2545
5006,4,-0.600,2545
5011,8,-0.600,2545
5016,12,-0.450,2545
5021,17,-0.450,2545
5026,24,-0.300,2545
5031,31,-0.150,2545
5036,40,0.000,2545
5041,50,0.150,2545
5046,61,0.450,2545
5051,73,0.750,2545
5056,86,1.050,2545
5061,98,1.350,2545
5066,113,1.500,2545
5071,128,1.800,2545
5076,145,2.100,2545
5081,162,2.400,2545
5086,180,2.850,2545
5091,200,3.150,2545
5096,219,3.450,2545
5101,240,3.900,2545
5106,259,4.200,2545
5111,280,4.500,2545
5116,304,4.800,2545
5121,324,5.100,2545
5126,346,5.400,2545
5131,369,5.550,2545
5136,393,5.850,2545
5141,413,6.150,2545
5146,435,6.300,2545
5151,456,6.300,2545
5156,479,6.450,2545
5161,502,6.600,2545
5166,526,6.750,2545
5171,547,6.750,2545
5176,568,6.750,2545
5181,589,6.600,2545
5186,610,6.600,2545
5191,632,6.450,2545
5196,657,6.450,2545
5201,677,6.300,2545
5206,698,6.150,2545
5211,722,5.850,2545
5216,741,5.700,2545
5221,763,5.400,2545
5226,784,5.100,2545
5231,806,4.800,2545
5236,825,4.500,2545
5241,844,4.050,2545
5246,869,3.600,2545
5251,889,3.300,2545
5256,910,3.000,2545
5261,931,2.550,2545
5266,953,2.100,2545
5271,974,1.650,2545
5276,999,1.350,2545
5281,1020,1.050,2545
5286,1041,0.600,2545
5291,1064,0.000,2545
5296,1086,-0.600,2545
5301,1103,-1.050,2545
5306,1124,-1.500,2545
5311,1144,-1.950,2545
5316,1163,-2.400,2545
5321,1183,-2.850,2545
5326,1203,-3.300,2545
5331,1223,-3.750,2545
5336,1244,-4.200,2545
5341,1265,-4.650,2545
5346,1285,-5.100,2545
5351,1305,-5.400,2545
5356,1326,-5.700,2545
5361,1347,-6.150,2545
5366,1367,-6.450,2545
5371,1388,-6.750,2545
5376,1407,-6.900,2545
5381,1431,-7.200,2545
5386,1453,-7.350,2545
5391,1477,-7.350,2545
5396,1497,-7.500,2545
5401,1519,-7.500,2545
5406,1540,-7.650,2545
5411,1560,-7.800,2545
5416,1581,-7.800,2545
5421,1601,-7.800,2545
5426,1621,-7.650,2545
5431,1641,-7.650,2545
5436,1661,-7.650,2545
5441,1681,-7.500,2545
5446,1700,-7.500,2545
5451,1721,-7.350,2545
5456,1741,-7.050,2545
5461,1761,-6.900,2545
5466,1785,-6.600,2545
5471,1804,-6.300,2545
5476,1825,-6.000,2545
5481,1846,-5.700,2545
5486,1868,-5.400,2545
5491,1888,-4.950,2545
5496,1910,-4.650,2545
5501,1930,-4.200,2545
5506,1950,-3.900,2545
5511,1970,-3.600,2545
5516,1989,-3.150,2545
5521,2008,-2.700,2545
5526,2028,-2.400,2545
5531,2047,-1.950,2545
5536,2071,-1.500,2545
5541,2090,-1.050,2545
5546,2109,-0.600,2545
5551,2129,-0.150,2545
5556,2149,0.150,2545
5561,2172,0.750,2545
5566,2191,1.200,2545
5571,2213,1.650,2545
5576,2237,1.950,2545
5581,2257,2.550,2545
5586,2277,2.850,2545
5591,2300,3.300,2545
5596,2320,3.600,2545
5601,2340,4.050,2545
5606,2359,4.350,2545
5611,2378,4.500,2545
5616,2396,4.800,2545
5621,2412,4.950,2545
5626,2427,5.100,2545
5631,2442,5.250,2545
5636,2456,5.250,2545
5641,2468,5.250,2545
5646,2479,5.100,2545
5651,2490,5.100,2545
5656,2502,4.950,2545
5661,2512,4.800,2545
5666,2520,4.650,2545
5671,2528,4.350,2545
5676,2534,4.050,2545
5681,2538,3.750,2545
5686,2542,3.300,2545
5691,2544,2.850,2545
5696,2545,2.400,2545
5701,2545,1.800,2545
5706,2545,1.350,2545
5711,2545,0.750,2545
5716,2545,0.150,2545
5721,2545,-0.300,2545
5726,2545,-0.900,2545
5731,2545,-1.500,2545
