time_ms,position_step,position_deg,target_step
10000,1,0.000,5000
10020,19,0.176,5000
10040,57,0.879,5000
10060,111,2.285,5000
10080,169,3.691,5000
10100,227,4.746,5000
10120,283,5.449,5000
10140,339,5.625,5000
10160,397,5.625,5000
10180,455,5.098,5000
10200,511,4.219,5000
10220,568,3.164,5000
10240,623,1.934,5000
10260,677,0.527,5000
10280,734,-0.879,5000
10300,791,-2.109,5000
10320,845,-3.164,5000
10340,899,-4.219,5000
10360,955,-4.746,5000
10380,1011,-4.922,5000
10400,1065,-4.922,5000
10420,1120,-4.570,5000
10440,1174,-4.043,5000
10460,1230,-3.164,5000
10480,1284,-2.109,5000
10500,1339,-0.879,5000
10520,1396,0.352,5000
10540,1454,1.582,5000
10560,1511,2.461,5000
10580,1567,3.340,5000
10600,1623,3.867,5000
10620,1679,4.043,5000
10640,1736,4.219,5000
10660,1790,3.691,5000
10680,1845,3.164,5000
10700,1903,2.637,5000
10720,1958,1.758,5000
10740,2013,0.703,5000
10760,2070,-0.176,5000
10780,2126,-1.230,5000
10800,2184,-1.934,5000
10820,2239,-2.637,5000
10840,2293,-3.164,5000
10860,2346,-3.516,5000
10880,2400,-3.516,5000
10900,2456,-3.516,5000
10920,2510,-2.988,5000
10940,2566,-2.461,5000
10960,2622,-1.758,5000
10980,2678,-0.879,5000
11000,2733,-0.176,5000
11020,2788,0.527,5000
11040,2844,1.230,5000
11060,2899,1.758,5000
11080,2953,2.285,5000
11100,3010,2.461,5000
11120,3068,2.637,5000
11140,3122,2.285,5000
11160,3179,2.109,5000
11180,3236,1.758,5000
11200,3287,1.055,5000
11220,3344,0.527,5000
11240,3399,0.000,5000
11260,3456,-0.527,5000
11280,3511,-0.879,5000
11300,3566,-1.230,5000
11320,3620,-1.758,5000
11340,3675,-1.934,5000
11360,3731,-1.934,5000
11380,3786,-1.758,5000
11400,3840,-1.582,5000
11420,3895,-1.406,5000
11440,3949,-1.055,5000
11460,4004,-0.703,5000
11480,4059,-0.352,5000
11500,4116,0.176,5000
11520,4173,0.527,5000
11540,4230,0.879,5000
11560,4287,1.055,5000
11580,4343,1.230,5000
11600,4398,1.230,5000
11620,4452,1.055,5000
11640,4510,1.055,5000
11660,4566,0.879,5000
11680,4621,0.527,5000
11700,4675,0.176,5000
11720,4730,0.000,5000
11740,4788,-0.176,5000
11760,4843,-0.527,5000
11780,4897,-0.703,5000
11800,4949,-0.703,5000
11820,4985,-1.230,5000
11840,4999,-2.109,5000
11860,5000,-3.516,5000
11880,5000,-4.570,5000
11900,5000,-5.449,5000
11920,5000,-5.801,5000
11940,5000,-5.801,5000
11960,5000,-5.449,5000
11980,5000,-4.746,5000
