time_ms,pos_step,angle_deg,target_step
5,0,0.000,0
10,0,0.000,0
15,0,0.000,0
20,0,0.000,0
25,0,0.000,0
30,0,0.000,0
35,0,0.000,0
40,0,0.000,0
45,0,0.000,0
50,0,0.000,0
55,0,0.000,0
60,0,0.000,0
65,0,0.000,0
70,-1,0.000,-1
75,-1,0.000,-1
80,-1,0.000,-1
85,-1,0.000,-1
90,-1,0.000,-1
95,-1,0.000,-1
100,-2,0.000,-2
105,-2,0.000,-2
110,-2,0.000,-2
115,-2,0.000,-2
120,-3,0.000,-3
125,-3,0.000,-3
130,-3,0.000,-3
135,-4,0.000,-4
140,-4,0.000,-4
145,-5,0.000,-5
150,-5,0.000,-5
155,-6,0.000,-6
160,-6,0.000,-6
165,-7,0.000,-7
170,-8,0.000,-8
175,-8,0.000,-8
180,-9,0.000,-9
185,-10,0.000,-10
190,-11,0.000,-11
195,-12,0.000,-12
200,-12,0.000,-12
205,-13,0.000,-13
210,-14,0.000,-14
215,-15,0.000,-15
220,-16,0.000,-16
225,-18,0.000,-18
230,-19,0.000,-19
235,-20,0.000,-20
240,-21,0.000,-21
245,-23,0.000,-23
250,-24,0.000,-24
255,-25,0.000,-26
260,-27,0.000,-27
265,-28,0.000,-28
270,-30,0.000,-30
275,-31,0.000,-31
280,-32,0.000,-33
285,-34,0.000,-35
290,-36,0.000,-37
295,-37,0.000,-38
300,-39,0.000,-40
305,-41,0.000,-42
310,-43,0.000,-44
315,-46,0.000,-46
320,-48,0.000,-48
325,-49,0.000,-51
330,-52,0.000,-53
335,-54,0.000,-55
340,-56,0.000,-58
345,-59,0.000,-60
350,-61,0.000,-62
355,-64,0.000,-65
360,-67,0.000,-68
365,-69,0.000,-70
370,-73,0.000,-73
375,-75,0.000,-76
380,-78,0.000,-79
385,-80,0.000,-82
390,-83,0.000,-85
395,-86,0.000,-88
400,-89,0.000,-91
405,-93,0.000,-94
410,-96,0.000,-97
415,-99,0.000,-101
420,-103,0.000,-105
425,-106,0.000,-108
430,-109,0.000,-111
435,-113,0.000,-115
440,-116,0.000,-119
445,-120,0.000,-123
