time_ms,pos_step,angle_deg,target_step
time_ms,pos_step,angle_deg,target_step
5,8797,7.200,800
10,8793,7.200,800
15,8787,7.050,800
20,8779,7.050,800
25,8769,6.750,800
30,8758,6.600,800
35,8744,6.300,800
40,8729,5.850,800
45,8712,5.550,800
50,8694,5.100,800
55,8673,4.650,800
60,8651,4.200,800
65,8628,3.750,800
70,8602,3.300,800
75,8575,2.700,800
80,8549,2.100,800
85,8522,1.650,800
90,8495,1.200,800
95,8469,0.750,800
100,8442,0.300,800
105,8415,0.000,800
110,8389,-0.450,800
115,8362,-0.750,800
120,8335,-1.050,800
125,8308,-1.350,800
130,8281,-1.500,800
135,8255,-1.800,800
140,8228,-1.950,800
145,8201,-2.100,800
150,8174,-2.100,800
155,8148,-2.250,800
160,8121,-2.250,800
165,8094,-2.100,800
170,8067,-2.100,800
175,8041,-1.950,800
180,8014,-1.800,800
185,7987,-1.650,800
190,7960,-1.500,800
195,7934,-1.200,800
200,7907,-0.900,800
205,7880,-0.600,800
210,7854,-0.300,800
215,7827,0.000,800
220,7800,0.450,800
225,7774,0.750,800
230,7747,1.200,800
235,7720,1.650,800
240,7694,2.250,800
245,7667,2.700,800
250,7640,3.300,800
255,7614,3.750,800
260,7587,4.200,800
265,7560,4.800,800
270,7534,5.400,800
275,7507,6.000,800
280,7480,6.600,800
285,7454,7.050,800
290,7427,7.650,800
295,7400,8.250,800
300,7374,8.850,800
305,7347,9.450,800
310,7321,9.900,800
315,7294,10.500,800
320,7267,11.100,800
325,7241,11.550,800
330,7214,12.000,800
335,7187,12.450,800
340,7160,12.900,800
345,7134,13.350,800
350,7107,13.800,800
355,7080,14.100,800
360,7054,14.400,800
365,7027,14.850,800
370,7000,15.150,800
375,6973,15.300,800
380,6947,15.600,800
385,6920,15.750,800
390,6893,15.900,800
395,6867,16.050,800
400,6840,16.050,800
405,6813,16.200,800
410,6786,16.200,800
415,6760,16.050,800
420,6733,16.050,800
425,6706,16.050,800
430,6679,15.900,800
435,6653,15.750,800
440,6626,15.450,800
445,6599,15.300,800
450,6572,15.000,800
455,6546,14.700,800
460,6519,14.400,800
465,6492,14.100,800
470,6466,13.800,800
475,6439,13.350,800
480,6412,12.900,800
485,6385,12.450,800
490,6359,12.000,800
495,6332,11.550,800
500,6305,10.950,800
505,6278,10.500,800
510,6252,9.900,800
515,6225,9.450,800
520,6199,8.850,800
525,6172,8.400,800
530,6145,7.800,800
535,6118,7.200,800
540,6092,6.600,800
545,6065,6.000,800
550,6038,5.400,800
555,6012,4.950,800
560,5985,4.350,800
565,5958,3.900,800
570,5932,3.300,800
575,5905,2.850,800
580,5879,2.400,800
585,5852,1.950,800
590,5825,1.500,800
595,5799,1.050,800
600,5772,0.600,800
605,5745,0.300,800
610,5719,0.000,800
615,5692,-0.300,800
620,5665,-0.600,800
625,5639,-0.900,800
630,5612,-1.200,800
635,5585,-1.350,800
640,5559,-1.500,800
645,5532,-1.500,800
650,5505,-1.650,800
655,5479,-1.650,800
660,5452,-1.650,800
665,5425,-1.650,800
670,5398,-1.500,800
675,5372,-1.500,800
680,5345,-1.350,800
685,5318,-1.200,800
690,5292,-0.900,800
695,5265,-0.750,800
700,5238,-0.450,800
705,5211,-0.150,800
710,5185,0.300,800
715,5158,0.600,800
720,5131,0.900,800
725,5105,1.350,800
730,5078,1.800,800
735,5051,2.250,800
740,5025,2.700,800
745,4998,3.150,800
750,4971,3.750,800
755,4945,4.200,800
760,4918,4.800,800
765,4891,5.250,800
770,4865,5.850,800
775,4838,6.300,800
780,4811,6.900,800
785,4785,7.500,800
790,4758,8.100,800
795,4731,8.700,800
800,4705,9.150,800
805,4678,9.600,800
810,4652,10.200,800
815,4625,10.650,800
820,4598,11.100,800
825,4571,11.550,800
830,4545,12.000,800
835,4518,12.450,800
840,4491,12.900,800
845,4465,13.200,800
850,4438,13.650,800
