time_ms,pos_step,angle_deg,target_step
time_ms,pos_step,angle_deg,target_step
5,-397,4.050,800
10,-392,4.350,800
15,-386,4.500,800
20,-377,4.650,800
25,-367,4.950,800
30,-356,5.250,800
35,-342,5.550,800
40,-327,6.000,800
45,-309,6.450,800
50,-291,6.900,800
55,-270,7.350,800
60,-248,7.950,800
65,-223,8.400,800
70,-198,8.850,800
75,-172,9.450,800
80,-145,9.900,800
85,-119,10.350,800
90,-93,10.650,800
95,-67,10.950,800
100,-41,11.250,800
105,-15,11.400,800
110,11,11.700,800
115,37,11.850,800
120,63,11.850,800
125,89,11.850,800
130,116,11.850,800
135,142,11.850,800
140,168,11.850,800
145,194,11.700,800
150,220,11.400,800
155,246,11.100,800
160,272,10.800,800
165,298,10.500,800
170,324,10.200,800
175,350,9.750,800
180,376,9.300,800
185,402,8.850,800
190,429,8.250,800
195,455,7.800,800
200,481,7.200,800
205,507,6.600,800
210,533,6.000,800
215,559,5.400,800
220,585,4.650,800
225,611,4.050,800
230,636,3.300,800
235,659,2.550,800
240,680,1.650,800
245,700,0.900,800
250,718,0.000,800
255,734,-1.050,800
260,748,-1.950,800
265,761,-3.000,800
270,772,-4.050,800
275,781,-5.100,800
280,788,-6.150,800
285,794,-7.200,800
290,797,-8.250,800
295,799,-9.450,800
300,800,-10.500,800
305,800,-11.700,800
310,800,-12.750,800
315,800,-13.650,800
320,800,-14.550,800
325,800,-15.450,800
330,800,-16.350,800
335,800,-17.100,800
340,800,-17.700,800
345,800,-18.300,800
350,800,-18.900,800
355,800,-19.350,800
360,800,-19.800,800
365,800,-20.100,800
370,800,-20.250,800
375,800,-20.400,800
380,800,-20.550,800
385,800,-20.400,800
390,800,-20.400,800
395,800,-20.250,800
400,800,-19.950,800
405,800,-19.650,800
410,800,-19.200,800
415,800,-18.750,800
420,800,-18.150,800
425,800,-17.550,800
430,800,-16.800,800
435,800,-16.050,800
440,800,-15.300,800
445,800,-14.400,800
450,800,-13.350,800
455,800,-12.450,800
460,800,-11.400,800
465,800,-10.350,800
470,800,-9.150,800
475,800,-7.950,800
480,800,-6.900,800
485,800,-5.550,800
490,800,-4.350,800
495,800,-3.150,800
500,800,-1.800,800
505,800,-0.600,800
510,800,0.750,800
515,800,1.950,800
520,800,3.300,800
525,800,4.500,800
530,800,5.850,800
535,800,7.050,800
540,800,8.250,800
545,800,9.300,800
550,800,10.500,800
555,800,11.550,800
560,800,12.600,800
565,800,13.500,800
570,800,14.400,800
575,800,15.300,800
580,800,16.200,800
585,800,16.950,800
590,800,17.550,800
595,800,18.150,800
600,800,18.750,800
605,800,19.200,800
610,800,19.650,800
615,800,19.950,800
620,800,20.100,800
625,800,20.250,800
630,800,20.400,800
635,800,20.400,800
640,800,20.250,800
645,800,20.100,800
650,800,19.950,800
655,800,19.500,800
660,800,19.200,800
665,800,18.750,800
670,800,18.150,800
675,800,17.550,800
680,800,16.950,800
685,800,16.200,800
