time_ms,pos_step,angle_deg,target_step
time_ms,pos_step,angle_deg,target_step
5,803,0.150,8800
10,807,0.150,8800
15,813,0.150,8800
20,821,0.300,8800
25,831,0.450,8800
30,842,0.750,8800
35,855,1.050,8800
40,871,1.350,8800
45,887,1.800,8800
50,906,2.100,8800
55,926,2.550,8800
60,948,3.000,8800
65,972,3.600,8800
70,998,4.050,8800
75,1024,4.500,8800
80,1051,5.100,8800
85,1078,5.700,8800
90,1105,6.150,8800
95,1131,6.600,8800
100,1158,6.900,8800
105,1185,7.350,8800
110,1211,7.650,8800
115,1238,8.100,8800
120,1265,8.400,8800
125,1292,8.700,8800
130,1318,8.850,8800
135,1345,9.000,8800
140,1372,9.300,8800
145,1398,9.450,8800
150,1425,9.600,8800
155,1452,9.600,8800
160,1479,9.600,8800
165,1505,9.600,8800
170,1532,9.600,8800
175,1559,9.450,8800
180,1586,9.300,8800
185,1612,9.150,8800
190,1639,9.000,8800
195,1666,8.700,8800
200,1692,8.400,8800
205,1719,8.100,8800
210,1745,7.800,8800
215,1772,7.500,8800
220,1799,7.050,8800
225,1825,6.600,8800
230,1852,6.150,8800
235,1879,5.700,8800
240,1905,5.100,8800
245,1932,4.650,8800
250,1959,4.050,8800
255,1985,3.600,8800
260,2012,3.000,8800
265,2039,2.400,8800
270,2066,1.800,8800
275,2092,1.350,8800
280,2119,0.750,8800
285,2145,0.000,8800
290,2172,-0.600,8800
295,2199,-1.050,8800
300,2225,-1.650,8800
305,2252,-2.250,8800
310,2279,-2.850,8800
315,2305,-3.450,8800
320,2332,-3.900,8800
325,2359,-4.500,8800
330,2386,-4.950,8800
335,2412,-5.400,8800
340,2439,-5.850,8800
345,2465,-6.300,8800
350,2492,-6.750,8800
355,2519,-7.200,8800
360,2546,-7.500,8800
365,2572,-7.800,8800
370,2599,-8.100,8800
375,2626,-8.400,8800
380,2652,-8.550,8800
385,2679,-8.700,8800
390,2706,-8.850,8800
395,2732,-9.000,8800
400,2759,-9.150,8800
405,2786,-9.150,8800
410,2813,-9.150,8800
415,2839,-9.150,8800
420,2866,-9.000,8800
425,2893,-8.850,8800
430,2919,-8.700,8800
435,2946,-8.550,8800
440,2973,-8.250,8800
445,3000,-8.100,8800
450,3026,-7.800,8800
455,3053,-7.500,8800
460,3080,-7.050,8800
465,3106,-6.750,8800
470,3133,-6.300,8800
475,3160,-5.850,8800
480,3187,-5.400,8800
485,3213,-4.950,8800
490,3240,-4.500,8800
495,3267,-3.900,8800
500,3293,-3.450,8800
505,3320,-2.850,8800
510,3347,-2.400,8800
515,3373,-1.800,8800
520,3400,-1.350,8800
525,3427,-0.750,8800
530,3453,-0.150,8800
535,3480,0.300,8800
540,3507,0.900,8800
545,3533,1.350,8800
550,3560,1.800,8800
555,3587,2.250,8800
560,3613,2.700,8800
565,3640,3.150,8800
570,3667,3.450,8800
575,3693,3.900,8800
580,3720,4.200,8800
585,3747,4.500,8800
590,3773,4.800,8800
595,3800,5.100,8800
600,3827,5.250,8800
605,3854,5.550,8800
610,3881,5.700,8800
615,3907,5.700,8800
620,3934,5.850,8800
625,3961,5.850,8800
630,3988,5.850,8800
635,4014,5.700,8800
640,4041,5.250,8800
645,4068,4.650,8800
650,4094,4.050,8800
655,4121,3.300,8800
660,4148,2.700,8800
665,4175,2.100,8800
670,4201,1.350,8800
675,4228,0.750,8800
680,4254,0.150,8800
685,4281,-0.600,8800
690,4308,-1.200,8800
695,4334,-1.800,8800
700,4361,-2.400,8800
705,4388,-3.000,8800
710,4414,-3.600,8800
715,4441,-4.200,8800
720,4467,-4.650,8800
725,4494,-5.250,8800
730,4521,-5.700,8800
735,4547,-6.150,8800
740,4574,-6.450,8800
745,4601,-6.750,8800
750,4628,-7.200,8800
755,4655,-7.500,8800
760,4681,-7.800,8800
765,4708,-7.950,8800
770,4735,-8.100,8800
775,4762,-8.250,8800
780,4788,-8.550,8800
785,4815,-8.550,8800
790,4841,-8.400,8800
795,4868,-8.400,8800
800,4895,-8.400,8800
805,4921,-8.400,8800
810,4948,-8.250,8800
815,4975,-8.100,8800
820,5001,-7.950,8800
825,5028,-7.650,8800
830,5055,-7.350,8800
835,5081,-7.200,8800
840,5108,-6.900,8800
845,5135,-6.600,8800
850,5161,-6.150,8800
855,5188,-5.850,8800
860,5215,-5.400,8800
865,5242,-4.950,8800
870,5268,-4.650,8800
875,5295,-4.200,8800
880,5322,-3.600,8800
885,5348,-3.150,8800
890,5375,-2.700,8800
895,5402,-2.100,8800
900,5428,-1.500,8800
905,5455,-1.050,8800
910,5482,-0.600,8800
915,5508,0.000,8800
920,5535,0.600,8800
925,5562,1.200,8800
930,5588,1.650,8800
935,5615,2.100,8800
940,5641,2.700,8800
945,5668,3.150,8800
950,5695,3.600,8800
955,5721,4.200,8800
960,5748,4.500,8800
965,5775,4.950,8800
970,5801,5.550,8800
975,5828,5.850,8800
980,5855,6.300,8800
985,5881,6.600,8800
990,5908,6.900,8800
995,5935,7.200,8800
1000,5961,7.350,8800
1005,5988,7.800,8800
1010,6015,7.950,8800
1015,6041,8.250,8800
1020,6068,8.250,8800
1025,6095,8.400,8800
1030,6121,8.400,8800
1035,6148,8.550,8800
1040,6175,8.550,8800
1045,6201,8.550,8800
1050,6228,8.400,8800
1055,6255,8.400,8800
1060,6282,8.400,8800
1065,6308,8.100,8800
1070,6335,7.950,8800
1075,6362,7.800,8800
1080,6389,7.500,8800
1085,6415,7.200,8800
1090,6442,7.050,8800
1095,6469,6.750,8800
1100,6495,6.450,8800
1105,6522,5.850,8800
1110,6549,5.400,8800
1115,6575,5.100,8800
1120,6602,4.650,8800
1125,6629,4.200,8800
1130,6655,3.750,8800
1135,6682,3.300,8800
1140,6708,2.700,8800
1145,6735,2.250,8800
1150,6762,1.800,8800
1155,6789,1.350,8800
1160,6815,0.750,8800
1165,6842,0.300,8800
1170,6869,-0.300,8800
1175,6895,-0.750,8800
1180,6922,-1.350,8800
1185,6949,-1.800,8800
1190,6975,-2.250,8800
1195,7002,-2.700,8800
1200,7029,-3.450,8800
1205,7055,-3.900,8800
1210,7082,-4.200,8800
1215,7109,-4.800,8800
1220,7135,-5.100,8800
1225,7162,-5.550,8800
1230,7189,-6.000,8800
1235,7215,-6.450,8800
1240,7242,-6.750,8800
1245,7269,-6.900,8800
1250,7296,-7.200,8800
1255,7322,-7.500,8800
1260,7349,-7.650,8800
1265,7376,-7.950,8800
1270,7402,-8.100,8800
1275,7429,-8.100,8800
1280,7456,-8.100,8800
1285,7482,-8.100,8800
